"ID";"Footprint";"Case";"Count";"Value";"Supplier; order-number";
1;"R6";"R_0805_2012Metric";1;"100";Mouser;603-RC0402JR-07100RL;
2;"Top1";"PGA-168_socket";1;"486";various;PGA-168 486 168pin socket;
3;"C11";"CP_EIA-6032-15_Kemet-U";1;"47µ";Mouser;80-T491C476M010;
4;"C10,C9,C8,C7,C5";"C_0805_2012Metric";5;"0.1µF";Mouser;581-08055C104K;
5;"Bot1";"PGA-168_pin";1;"486";various; turned pin header, dia =0.5mm;
6;"JP4";"PinHeader_1x03_P2.54mm_Vertical";1;"FAN";Mouser;649-78511-203HLF;
7;"JP2";"PinHeader_1x03_P2.54mm_Vertical";1;"voltage";Mouser;649-78511-203HLF;
8;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"WB/WT";Mouser;649-78511-203HLF;
9;"JP3";"PinHeader_1x03_P2.54mm_Vertical";1;"CLKMUL";Mouser;649-78511-203HLF;
10;"U1";"SOT-23-6";1;"TPS54308DDCR";Mouser;595-TPS54308DDCR;
11;"R5";"R_0805_2012Metric";1;"91k";Mouser;603-RC0805JR-0791KL ;
12;"R4";"R_0805_2012Metric";1;"430k";Mouser;603-RC0805JR-07430KL ;
13;"R3";"R_0805_2012Metric";1;"22k";Mouser;603-RC0805JR-0722KL;
14;"R2";"R_0805_2012Metric";1;"100k";Mouser;603-RC0805JR-07100KL ;
15;"R1";"R_0805_2012Metric";1;"50";Mouser;603-RC0402JR-0750RL ;
16;"L1";"L_Taiyo-Yuden_NR-80xx";1;"10µh";Mouser;581-LMLP07A7M100DTAS ;
17;"C6";"C_0805_2012Metric";1;"75pf";Mouser;581-08051A750J;
18;"C4,C3,C2,C1";"C_1206_3216Metric";4;"10µF";Mouser;80-C1206C106M3P ;
